PMT_ID,First_Name,Last_Name,Email,Valid_Email,Valid_PMT
39759,A,X,A_X37tekpartners.com,Valid,Invalid
12142,B,Y,B_Y53tekpartners.com,Valid,Invalid
28106,C,Z,C_Z540tekpartners.com,Valid,Valid
29822,A,X,A_X390tekpartners.com,Valid,Valid
59359,A,Y,A_Y389tekpartners.com,Valid,Invalid
95784,B,Z,B_Z28tekpartners.com,Invalid,Invalid
32394,C,X,C_X851tekpartners.com,Valid,Invalid
4779,A,Y,A_Y478tekpartners.com,Invalid,Invalid
16307,A,Z,A_Z60tekpartners.com,Valid,Valid
11636,B,X,B_X236tekpartners.com,Invalid,Valid
23312,C,Y,C_Y808tekpartners.com,Invalid,Valid
11955,A,Z,A_Z558tekpartners.com,Invalid,Invalid
1233,A,X,A_X817tekpartners.com,Invalid,Valid
76290,B,Y,B_Y482tekpartners.com,Invalid,Valid
54619,C,Z,C_Z269tekpartners.com,Invalid,Invalid
87451,A,X,A_X454tekpartners.com,Invalid,Valid
68542,A,Y,A_Y593tekpartners.com,Valid,Invalid
92590,B,Z,B_Z822tekpartners.com,Invalid,Valid
19347,C,X,C_X401tekpartners.com,Invalid,Valid
60282,A,Y,A_Y888tekpartners.com,Invalid,Invalid
81350,A,Z,A_Z540tekpartners.com,Invalid,Valid
82569,B,X,B_X125tekpartners.com,Invalid,Valid
61283,C,Y,C_Y495tekpartners.com,Invalid,Invalid
30024,A,Z,A_Z376tekpartners.com,Invalid,Invalid
88922,A,X,A_X544tekpartners.com,Valid,Valid
73237,B,Y,B_Y730tekpartners.com,Valid,Valid
78510,C,Z,C_Z485tekpartners.com,Invalid,Valid
32732,A,X,A_X977tekpartners.com,Invalid,Invalid
83641,A,Y,A_Y520tekpartners.com,Valid,Invalid
23654,B,Z,B_Z515tekpartners.com,Valid,Valid
49522,C,X,C_X366tekpartners.com,Invalid,Invalid
79076,A,Y,A_Y17tekpartners.com,Invalid,Valid
3073,A,Z,A_Z519tekpartners.com,Valid,Valid
26400,B,X,B_X192tekpartners.com,Valid,Invalid
6198,C,Y,C_Y695tekpartners.com,Invalid,Valid
77180,A,Z,A_Z795tekpartners.com,Valid,Valid
29246,A,X,A_X774tekpartners.com,Invalid,Valid
21251,B,Y,B_Y43tekpartners.com,Valid,Valid
41497,C,Z,C_Z712tekpartners.com,Valid,Valid
43546,A,X,A_X392tekpartners.com,Valid,Valid
77779,A,Y,A_Y570tekpartners.com,Invalid,Invalid
62420,B,Z,B_Z500tekpartners.com,Valid,Valid
26991,C,X,C_X213tekpartners.com,Invalid,Invalid
15522,A,Y,A_Y776tekpartners.com,Invalid,Invalid
70710,A,Z,A_Z23tekpartners.com,Valid,Invalid
67707,B,X,B_X319tekpartners.com,Invalid,Invalid
56562,C,Y,C_Y520tekpartners.com,Valid,Invalid
36983,A,Z,A_Z155tekpartners.com,Invalid,Invalid
